Range,REF,PropertyName,PropertyDescription,PropertyDescriptionShort,PropertyFilter,PropertyFilterShort,Source,SectorCount,PublicCount,Type,Subtype,Year,YearDesc,File,Field,DataType,DataTypeAlt,RecordFilterBy,Filter,FilterValue,Filter2,Filter2Value,Filter3,Filter3Value,Filter4,Filter4Value,Filter5,Filter5Value,Filter6,Filter6Value,Filter7,Filter7Value,Filter8,Filter8Value,Filter9,Filter9Value,Filter10,Filter10Value,Filter11,Filter11Value,Filter12,Filter12Value,Filter13,Filter13Value,Filter14,Filter14Value,Filter15,Filter15Value,Filter16,Filter16Value,Filter17,Filter17Value,Filter18,Filter18Value,Filter19,Filter19Value,Filter20,Filter20Value,ShouldBeNormalised,NormalisedLookup,CompoundFields,ReturnMultipleRecords,IgnoreMapping,CSCP_Matching
England,,AllDest_Tot_Eng_Previous_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous,Previous,new_ees_ks4_nat_202223,overall,,percentage,geographic_level,breakdown_topic,Total,breakdown,Total,time_period,202122,geographic_level,National,data_type,Percentage,institution_group,Total state-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,AllDest_Tot_Est_Previous_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous,Previous,new_ks4_dm_ud_202223_inst_rev,overall,,percentage,school_laestab,breakdown_topic,Total,breakdown,Total,time_period,202223,data_type,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,AllDest_Tot_LA_Previous_Pct,All Destinations,AllDest,Total,Tot,EES,,,KS4_Destinations,Destinations,Previous,Previous,new_ees_ks4_la_202223,overall,,percentage,old_la_code,breakdown_topic,Total,breakdown,Total,time_period,202122,geographic_level,Local authority,data_type,Percentage,institution_group,State-funded mainstream and special,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_CI_Lower_Est_Previous_Num,Progress8,Prog8,Progress 8 Confidence Interval Lower,CI_Lower,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,progress8_lower_95_ci,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_CI_Lower_Est_Previous2_Num_Coded,Progress8,Prog8,Progress 8 Confidence Interval Lower,CI_Lower,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,progress8_lower_95_ci,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_CI_Upper_Est_Previous_Num,Progress8,Prog8,Progress 8 Confidence Interval Upper,CI_Upper,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,progress8_upper_95_ci,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_CI_Upper_Est_Previous2_Num_Coded,Progress8,Prog8,Progress 8 Confidence Interval Upper,CI_Upper,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,progress8_upper_95_ci,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_Tot_Est_Previous_Num,Progress8,Prog8,Average,Tot,EES,,,KS4_Performance,Performance,Previous,Previous,new_202425_performance_tables_schools_final,progress8_average,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Establishment,,Prog8_Tot_Est_Previous2_Num,Progress8,Prog8,Average,Tot,EES,,,KS4_Performance,Performance,Previous2,Previous2,new_202425_performance_tables_schools_final,progress8_average,,number,school_laestab,breakdown_topic,Total,breakdown,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,,Attainment8_Tot_Eng_Current_Num,Attainment 8,Attainment8,Total,Tot,EES,,,KS4_Performance,Performance,Current,Current,new_202425_all_state_funded_pupils_characteristics_and_geography_breakdowns_revised,attainment8_average,,number,geographic_level,breakdown_topic,Total,sex,Total,disadvantage_status,Total,first_language,Total,prior_attainment,Total,mobility,Total,time_period,202425,geographic_level,National,establishment_type_group,All state-funded,ethnicity_major,Total,ethnicity_minor,Total,fsm_status,Total,sen_provision,Total,sen_status,Total,sen_primary_need,Total,ks2_scaled_score_group,Total,young_carer,Total,school_admission_type,Total,school_religious_character,Total,,,,,,,,
